clip,species,probability
A_20090324_063100.wav,1,0
A_20090324_063100.wav,2,0
A_20090324_063100.wav,3,0
A_20090324_063100.wav,4,0
A_20090324_063100.wav,5,0
A_20090324_063100.wav,6,1
A_20090324_063100.wav,7,0
A_20090324_063100.wav,8,0
A_20090324_063100.wav,9,0
A_20090324_063100.wav,10,0
A_20090324_063100.wav,11,0
A_20090324_063100.wav,12,0
A_20090324_063100.wav,13,0
A_20090324_063100.wav,14,0
A_20090324_063100.wav,15,0
A_20090324_063100.wav,16,0
A_20090324_063100.wav,17,0
A_20090324_063100.wav,18,0
A_20090324_063100.wav,19,0
A_20090324_063100.wav,20,0
A_20090324_063100.wav,21,0
A_20090324_063100.wav,22,0
A_20090324_063100.wav,23,0
A_20090324_063100.wav,24,0
A_20090324_063100.wav,25,0
A_20090324_063100.wav,26,0
A_20090324_063100.wav,27,1
A_20090324_063100.wav,28,0
A_20090324_063100.wav,29,0
A_20090324_063100.wav,30,0
A_20090324_063100.wav,31,0
A_20090324_063100.wav,32,1
A_20090324_063100.wav,33,0
A_20090324_063100.wav,34,1
A_20090324_063100.wav,35,0
A_20090326_062700.wav,1,0.646798840272436281750856323924
A_20090326_062700.wav,2,0.905665035796115347466184175573
A_20090326_062700.wav,3,0.000000000000000000000000000000
A_20090326_062700.wav,4,0.606387064069059067428213438689
A_20090326_062700.wav,5,0.507702137067160608197013971221
A_20090326_062700.wav,6,0.611844342337780622287368714751
A_20090326_062700.wav,7,0.898349656852908351467590364337
A_20090326_062700.wav,8,0.998347009122165007788396451360
A_20090326_062700.wav,9,0.902921297802403266530291148229
A_20090326_062700.wav,10,0.646719080471639840013153843756
A_20090326_062700.wav,11,0.923157750782381936183185189293
A_20090326_062700.wav,12,0.896943792973390996436933164659
A_20090326_062700.wav,13,0.779039088544425606386312210816
A_20090326_062700.wav,14,0.918950783463443054976949042612
A_20090326_062700.wav,15,0.686410274386320184980547765008
A_20090326_062700.wav,16,0.823660746661932563483787816949
A_20090326_062700.wav,17,0.000000000000000000000000000000
A_20090326_062700.wav,18,0.922313447876039305128870182671
A_20090326_062700.wav,19,0.199083665686678012995969311305
A_20090326_062700.wav,20,0.927819216752529651870418092585
A_20090326_062700.wav,21,0.362182180760142746756002907205
A_20090326_062700.wav,22,0.855113319288242523796839122951
A_20090326_062700.wav,23,0.964748469557091592463393681101
A_20090326_062700.wav,24,0.798061709460980761576820441405
A_20090326_062700.wav,25,0.000000000000000000000000000000
A_20090326_062700.wav,26,0.829148741369493125219491957978
A_20090326_062700.wav,27,0.870971627764287825712585799920
A_20090326_062700.wav,28,0.671076856181700209802443168883
A_20090326_062700.wav,29,0.000000000000000000000000000000
A_20090326_062700.wav,30,0.688205337527491689542102903943
A_20090326_062700.wav,31,0.784267782444235228567208650929
A_20090326_062700.wav,32,0.997856230021356038761837226048
A_20090326_062700.wav,33,0.974451000369241704390788072487
A_20090326_062700.wav,34,0.520017322507547730126020724128
A_20090326_062700.wav,35,0.452673203127774037568542553345
A_20090328_062300.wav,1,0.768703897018607640312382045522
A_20090328_062300.wav,2,0.933436292258582378522646649799
A_20090328_062300.wav,3,0.000000000000000000000000000000
A_20090328_062300.wav,4,0.605586703888520316851895586296
A_20090328_062300.wav,5,0.219910494906279119220471329754
A_20090328_062300.wav,6,0.634629907778691104702772918245
A_20090328_062300.wav,7,0.871587436362156853242311171925
A_20090328_062300.wav,8,0.996359449175437950074751825014
A_20090328_062300.wav,9,0.634157576278617129972303700924
A_20090328_062300.wav,10,0.820907003397032486446960319881
A_20090328_062300.wav,11,0.849122973487704824080424259591
A_20090328_062300.wav,12,0.886321517566346694927403859765
A_20090328_062300.wav,13,0.199416530329341923355457311118
